Set,KL Divergence
Set(3)24,-0.0420132533374868
Set(3)22,-0.0293946983012038
Set(3)27,-0.0293946983012038
Set(3)26,-0.021888675849611
Set(3)11,0.0039146395870636
Set(3)23,0.0047797122794647
Set(3)8,0.0071808674278579
Set(3)6,0.0137697089070838
Set(3)19,0.0155111828609455
Set(3)14,0.0180160093012557
Set(3)25,0.0180160093012557
Set(3)16,0.019151057401556
Set(3)10,0.0212757313586766
Set(3)18,0.0349647424201831
Set(3)4,0.035505630225371
Set(3)7,0.0383311050824098
Set(3)5,0.0482903412586906
Set(3)2,0.0482903412586906
Set(3)17,0.0518452615767449
Set(3)15,0.0587508578510862
Set(3)3,0.0676626855461738
Set(3)1,0.083796806977569
Set(3)12,0.0879596075196703
Set(3)9,0.1076659745716006
Set(3)13,0.1525873807629763
Set(3)20,0.1776188802648279
Set(3)21,9.891747465270717
