Row,Filename_x,topic_tag_x,Set_x,Filename_y,topic_tag_y,Set_y
203,FF1output_id12_delay1.75.mp4,アイテム,Set575,FF4output_id32_delay0.75.mp4,対戦結果,Set(2)71
808,FF1output_id22_delay-0.5.mp4,ファイター,Set576,FF2output_id19_delay1.5.mp4,アイテム,Set(2)45
3263,MM3output_id23_delay1.75.mp4,対戦風景,Set576,FF4output_id14_delay-1.25.mp4,対戦風景,Set(2)129
1502,FF1output_id34_delay-1.0.mp4,アイテム,Set577,MM2output_id18_delay1.25.mp4,対戦風景,Set(2)34
1862,FF1output_id40_delay-1.0.mp4,対戦風景,Set577,MF12output_id25_delay1.25.mp4,対戦風景,Set(2)56
1288,FF1output_id30_delay-0.5.mp4,ファイター,Set577,MM1output_id3_delay1.5.mp4,ファイター,Set(2)125
2514,MM3output_id8_delay0.5.mp4,アイテム,Set577,MF11output_id14_delay1.75.mp4,ファイター,Set(2)82
391,FF1output_id15_delay0.75.mp4,ファイター,Set577,FF2output_id27_delay0.0.mp4,対戦風景,Set(2)65
164,FF1output_id11_delay1.0.mp4,対戦風景,Set577,FF3output_id28_delay-1.5.mp4,対戦結果,Set(2)146
460,FF1output_id16_delay-0.5.mp4,アイテム,Set578,FF2output_id14_delay-0.5.mp4,アイテム,Set(2)118
1743,FF1output_id38_delay-0.75.mp4,対戦風景,Set579,FF1output_id20_delay1.25.mp4,対戦風景,Set(2)40
1700,FF1output_id37_delay1.0.mp4,対戦風景,Set579,MM2output_id14_delay-1.5.mp4,アイテム,Set(2)49
1497,FF1output_id33_delay1.25.mp4,アイテム,Set579,MF22output_id21_delay0.5.mp4,対戦風景,Set(2)117
242,FF1output_id13_delay-1.0.mp4,アイテム,Set580,MF21output_id17_delay-0.75.mp4,対戦風景,Set(2)89
990,FF1output_id25_delay0.5.mp4,対戦風景,Set580,MF11output_id17_delay0.0.mp4,対戦風景,Set(2)75
1519,FF1output_id34_delay0.75.mp4,アイテム,Set580,MM2output_id2_delay0.0.mp4,ファイター,Set(2)33
3274,MM3output_id23_delay1.5.mp4,対戦風景,Set580,MF13output_id24_delay0.75.mp4,対戦風景,Set(2)130
276,FF1output_id13_delay-1.5.mp4,アイテム,Set581,MF23output_id3_delay1.0.mp4,ファイター,Set(2)90
2632,MM3output_id10_delay-0.5.mp4,アイテム,Set581,MM2output_id1_delay1.5.mp4,ファイター,Set(2)12
1073,FF1output_id26_delay0.0.mp4,ファイター,Set581,MF12output_id14_delay1.5.mp4,対戦風景,Set(2)119
2594,MM3output_id10_delay-1.0.mp4,アイテム,Set582,FF3output_id24_delay-0.75.mp4,対戦風景,Set(2)30
1493,FF1output_id33_delay0.0.mp4,アイテム,Set582,MF11output_id13_delay-0.5.mp4,対戦風景,Set(2)39
55,FF1output_id8_delay0.75.mp4,ファイター,Set582,MF12output_id9_delay0.0.mp4,対戦風景,Set(2)12
3516,MM3output_id27_delay-1.5.mp4,対戦風景,Set583,MM2output_id11_delay1.0.mp4,対戦風景,Set(2)83
3338,MM3output_id24_delay-1.0.mp4,対戦風景,Set583,MM4output_id21_delay-0.75.mp4,アイテム,Set(2)14
3398,MM3output_id25_delay-1.0.mp4,対戦風景,Set583,MM2output_id17_delay1.25.mp4,対戦風景,Set(2)40
2693,MM3output_id13_delay0.0.mp4,対戦風景,Set583,MF14output_id23_delay-0.5.mp4,対戦風景,Set(2)6
2661,MM3output_id13_delay1.25.mp4,対戦風景,Set583,MF12output_id20_delay-1.5.mp4,対戦風景,Set(2)145
2687,MM3output_id13_delay1.75.mp4,対戦風景,Set583,MF21output_id12_delay-1.25.mp4,アイテム,Set(2)114
1996,FF1output_id42_delay-0.5.mp4,対戦風景,Set584,MM1output_id16_delay-0.5.mp4,対戦風景,Set(2)148
3353,MM3output_id24_delay0.0.mp4,対戦風景,Set584,MF23output_id19_delay1.5.mp4,対戦風景,Set(2)56
392,FF1output_id15_delay1.0.mp4,ファイター,Set584,MF14output_id13_delay0.5.mp4,対戦風景,Set(2)105
2860,MM3output_id16_delay-0.5.mp4,対戦風景,Set585,MF11output_id24_delay-0.5.mp4,対戦風景,Set(2)2
3077,MM3output_id20_delay0.0.mp4,アイテム,Set585,MF14output_id22_delay-0.5.mp4,対戦風景,Set(2)91
82,FF1output_id10_delay1.5.mp4,対戦風景,Set585,MF21output_id9_delay0.75.mp4,アシストフィギュア,Set(2)132
2851,MM3output_id16_delay0.75.mp4,対戦風景,Set586,MM2output_id23_delay1.75.mp4,アイテム,Set(2)144
2399,MM3output_id6_delay1.75.mp4,アイテム,Set586,MM1output_id15_delay-1.25.mp4,対戦風景,Set(2)112
2702,MM3output_id14_delay-1.0.mp4,対戦風景,Set587,MF13output_id13_delay1.25.mp4,対戦風景,Set(2)20
2549,MM3output_id9_delay0.0.mp4,対戦風景,Set587,FF3output_id27_delay-0.5.mp4,対戦風景,Set(2)103
1298,FF1output_id30_delay-1.0.mp4,ファイター,Set589,FF1output_id18_delay-0.75.mp4,アイテム,Set(2)101
2883,MM3output_id17_delay-0.75.mp4,対戦風景,Set589,MF11output_id16_delay-0.75.mp4,ファイター,Set(2)126
52,FF1output_id8_delay-0.5.mp4,ファイター,Set589,FF1output_id32_delay-0.5.mp4,対戦風景,Set(2)40
2250,FF1output_id47_delay0.5.mp4,対戦結果,Set589,FF2output_id7_delay1.75.mp4,ファイター,Set(2)48
3410,MM3output_id25_delay-1.0.mp4,対戦風景,Set590,FF2output_id7_delay-0.75.mp4,ファイター,Set(2)41
2249,FF1output_id47_delay0.0.mp4,対戦結果,Set590,FF2output_id26_delay1.5.mp4,対戦風景,Set(2)92
1076,FF1output_id26_delay1.0.mp4,ファイター,Set590,MF11output_id13_delay-1.5.mp4,対戦風景,Set(2)75
3335,MM3output_id24_delay1.75.mp4,対戦風景,Set590,MF12output_id30_delay-1.25.mp4,対戦風景,Set(2)146
3418,MM3output_id25_delay1.5.mp4,対戦風景,Set591,FF2output_id15_delay0.75.mp4,ファイター,Set(2)41
2219,FF1output_id45_delay1.75.mp4,対戦風景,Set591,FF3output_id20_delay0.75.mp4,対戦風景,Set(2)88
1295,FF1output_id30_delay1.75.mp4,ファイター,Set591,FF1output_id22_delay-1.25.mp4,ファイター,Set(2)138
650,FF1output_id19_delay-1.0.mp4,アイテム,Set592,MF12output_id23_delay-0.75.mp4,対戦風景,Set(2)109
281,FF1output_id13_delay0.0.mp4,アイテム,Set592,MF23output_id22_delay1.5.mp4,対戦風景,Set(2)20
475,FF1output_id16_delay0.75.mp4,アイテム,Set592,MF21output_id23_delay1.75.mp4,対戦風景,Set(2)33
452,FF1output_id16_delay1.0.mp4,アイテム,Set592,FF1output_id18_delay-1.5.mp4,アイテム,Set(2)70
