Set,KL Divergence
Set(3)1,0.08379680697756908
Set(3)10,0.02127573135867664
Set(3)11,0.003914639587063638
Set(3)12,0.08795960751967033
Set(3)13,0.1525873807629763
Set(3)14,0.01801600930125575
Set(3)15,0.05875085785108625
Set(3)16,0.01915105740155609
Set(3)17,0.05184526157674498
Set(3)18,0.034964742420183166
Set(3)19,0.015511182860945556
Set(3)2,0.0482903412586906
Set(3)20,0.17761888026482792
Set(3)21,9.891747465270717
Set(3)22,-0.02939469830120388
Set(3)23,0.004779712279464755
Set(3)24,-0.042013253337486844
Set(3)25,0.01801600930125575
Set(3)26,-0.021888675849611097
Set(3)27,-0.02939469830120388
Set(3)3,0.0676626855461738
Set(3)4,0.035505630225371024
Set(3)5,0.0482903412586906
Set(3)6,0.013769708907083855
Set(3)7,0.03833110508240988
Set(3)8,0.007180867427857993
Set(3)9,0.10766597457160068
